word,part_of_speech,meaning,example,example_meaning,definition
piscatorial,adjective,người câu cá,,,Of or pertaining to fishermen or fishing.
restaurateur,noun,chủ,"However, in another article, he said Valentin was ""just a friend""; Mercury was actually dating German restaurateur Winfried Kirchberger during this time.","Tuy nhiên, trong một bài viết khác, Valentin là ""chỉ là một người bạn"", và Mercury lúc đó đã hẹn hò với một ông chủ nhà hàng Đức Winfried Kirchberger.",The owner of a restaurant.
sobriquet,noun,biệt hiệu,"He is commonly nicknamed dottor Sottile, (which means ""Doctor Subtilis"", the sobriquet of the Scottish Medieval philosopher John Duns Scotus, a reference to his political subtlety).","Ông được biết đến với biệt danh dottor Sottile, (nghĩa là ""Doctor Subtilis"", biệt hiệu của nhà triết học thời Trung cổ người Scotland John Duns Scotus, ám chỉ đến sự tinh tế chính trị của ông).",A familiar name for a person (typically a shortened version of a person’s given name).
patriarch,noun,gia trưởng,They lived in a patriarchal society.,Họ sống trong 1 xã hội gia trưởng .,"A male leader of a family, a tribe or an ethnic or religious group."
spontaneity,noun,tính tự ý,Spontaneous abortion occurs in various animals.,Sẩy thai tự phát xảy ra ở nhiều loài động vật.,(uncountable) The quality of being spontaneous.
rendering,noun,tái tạo,"So I decided to make these very simple renderings ,","Vì vậy tôi tái tạo những hình mẫu đơn giản như thế này,",version; translation.
abbess,noun,bà,"In 1045, King Henry III granted the convent the right to hold markets, collect tolls, and mint coins, and thus effectively made the abbess the ruler of the city.","Vào năm 1045, Vua Henry III cho phép tu viện quyền họp chợ, thu lộ phí, và đúc tiền xu, và do đó đã làm cho tu bà trưởng tu viện trở thành người cai quản thành phố.","A female superior or governess of a nunnery, or convent of nuns, having the same authority over the nuns which the abbots have over the monks."
enviously,adverb,ghen tị,""" Wow , "" I said enviously .",""" Chà , "" tôi ghanh tị .",In an envious manner or to an envious degree
obstruction,noun,sự tắc nghẽn,And that is microvascular obstruction .,Và đó là sự tắc nghẽn vi mạch.,"The act of obstructing, or state of being obstructed."
utilize,verb,sử dụng,This movement is utilized during the moment of the opponent’s attack.,Chuyển động này được sử dụng trong thời điểm tấn công của đối phương.,(American) Alternative spelling of utilise.
exchange,verb,đổi,"If savings is current pain in exchange for future pleasure, smoking is just the opposite.",Nếu tiết kiệm là nỗi đau hiện tại đổi lại niềm vui tương lai thì hút thuốc là ngược lại.,An act of exchanging or trading.
germinate,verb,nảy mầm,"By 1886, only three stunted, barely recognizable wheat stalks germinated .","Vào năm 1886, chỉ có ba cây lúa mỳ còi cọc, khó có thể nhận thấy đã nảy mầm .",To sprout or produce buds.
triathlon,noun,ba môn phối hợp,"For the first time, compound archery, mixed relay triathlon , judo team events were introduced.","Lần đầu tiên, bắn cung hợp chất, ba môn phối hợp tiếp hỗn hợp, các sự kiện đội judo đã được giới thiệu.","an athletics event in which contestants compete in swimming, cycling and running in turn"
epinephrine,noun,Adrenaline,"Epinephrine , also known as adrenalin or adrenaline, is a medication and hormone.","Epinephrine, còn được gọi là adrenalin hoặc adrenaline , là tên một loại thuốc và hormone..",(biochemistry) Adrenaline: a catecholamine hormone secreted by the adrenal gland in response to stress (when it stimulates the autonomic nervous system).
geologic,adjective,địa chất,These constitute a unique biological environment and are also of great geological interest.,"Chúng tạo thành một môi trường sinh học độc đáo, còn một lợi ích địa chất tuyệt vời.","of, or relating to geology or a geologic timescale"
dynasty,noun,triều đại,The plates indicate that this region was ruled by the Rashtrakuta dynasty .,Các tấm cho thấy khu vực này được cai trị bởi triều đại Rashtrakuta.,A series of rulers or dynasts from one family.
ramen,noun,Ramen,"Ramen is offered in various types of restaurants and locations including ramen shops, izakaya drinking establishments, lunch cafeterias, karaoke halls, and amusement parks.","Ramen được phục vụ ở nhiều loại nhà hàng và địa điểm khác nhau, bao gồm cả các quán rượu izakaya, các quán cafe ăn trưa, quán kinh doanh karaoke và khu vui chơi giải trí.",A type of instant noodles
u-boat,,tàu ngầm Đức,We're on top of the U - boat now.,Chúng ta đang ở trên các tàu ngầm Đức .,
yacht,noun,du thuyền,He was going to buy a yacht,Hắn sẽ mua 1 chiếc du thuyền .,"(intransitive) To sail, voyage, or race in a yacht."
dam,noun,đập,He organized opposition in particular against the projected Nagymaros dam in the Danube river system.,Ông là người đứng đầu phong trào phản đối dự án đập Nagymaros trong hệ thống sông Danube.,Structure placed across a flowing body of water to stop the flow.
encephalitis,noun,viêm não,She began chemotherapy but developed encephalitis and died 19 days later .,Cô ấy bắt đầu được hoá trị nhưng phát triển viêm não và chết sau 19 ngày .,(pathology) Inflammation of the brain.
exasperate,verb,khích,At times Sister Bednar and I were exasperated because the righteous habits we worked so hard to foster did not seem to yield immediately the spiritual results we wanted and expected.,"Đôi khi, Chị Bednar và tôi cảm thấy bực tức vì thói quen ngay chính mà chúng tôi cố gắng rất nhiều để khuyến khích thì dường như không mang lại kết quả thuộc linh mà chúng tôi mong muốn và kỳ vọng.","To frustrate, vex, provoke, or annoy; to make angry."
immerse,verb,nhúng,"5 Greek words translated “baptize,” “baptism,” and so forth, refer to immersing , dipping, or plunging under water.","5 Từ Hy Lạp được dịch là “báp têm”, “phép báp têm”, v.v... ám chỉ việc trầm, nhận chìm, hoặc nhúng sâu xuống dưới nước.",(transitive) To put under the surface of a liquid; to dunk.
defendant,adjective,bị cáo,The defendant must not commit or attempted to commit any further crime.,"Bị cáo không được thực hiện, hay có ý đồ thực thi việc phi pháp khác.","(law) In civil proceedings, the party responding to the complaint; one who is sued and called upon to make satisfaction for a wrong complained of by another."
utilitarian,noun,vị lợi,That's a utilitarian moral framework.,Đó là khuôn khổ đạo đức vị lợi .,of or relating to utility
dysfunction,verb,rối loạn chức năng,"Once upon a time, the world was a big, dysfunctional family.","Ngày xửa ngày xưa, thế giới là 1 gia đình lớn, hỗn loạn.","A failure to function in an expected or complete manner. Usually refers to a disorder in a bodily organ (e.g. erectile dysfunction), a mental disorder, or the improper behavior of a social group."
opt,verb,chọn,"However, once a buyer has opted out of disclosing their bid data, this information is excluded for all publishers they transact on.","Tuy nhiên, khi người mua đã chọn không tham gia tiết lộ dữ liệu giá thầu, thông tin này bị loại trừ cho tất cả các nhà xuất bản mà họ giao dịch.",(intransitive) To choose; to select.
quantify,verb,định lượng,"The quantified -self movement—“Counting Every Moment,” The Economist, March 3, 2012.","Phong trào tự định lượng - “Counting Every Moment”, The Economist, March 3, 2012.",To assign a quantity to.
courtyard,noun,sân,"The site that de Vaux uncovered divides into two main sections: a main building, a squarish structure of two stories featuring a central courtyard and a defensive tower on its north-western corner; and a secondary building to the west.","Nơi mà de Vaux phát hiện ra chia thành hai phần chính: một ""tòa nhà chính"", tức một cấu trúc vuông có 2 tầng, có một sân trung tâm cùng một tháp phòng thủ ở góc tây bắc, và ""một tòa nhà phụ"" ở phía tây.","an area, open to the sky, partially or wholly surrounded by walls or buildings"
therapist,noun,nhà trị liệu,I'm a trained therapist .,Chụy là nhà trị liệu được đào tạo đấy.,"Someone who provides therapy, usually professionally."
oddment,noun,đầu thừa đuôi thẹo,,,"Something left over, such as a piece of cloth; a remnant or offcut."
elfin,adjective,elf,"My elfin soul feels, that it is far, far away...","Theo dự cảm loài Elf , ta thấy nó xa, xa thật xa...","Relating to or resembling an elf, especially in its tiny size or features."
lummox,noun,lummox,"Chicken pies, you great lummox !","Bánh nhân thịt gà, đồ bò !","(informal) A clumsy, stupid person; an awkward bungler."
incomparable,adjective,vô song,Treasure more completely His incomparable life and teachings.,Hãy trân quý trọn vẹn hơn cuộc đời và những điều giảng dạy vô song của Ngài.,So much better than another as to be beyond comparison; matchless or unsurpassed.
incontestable,adjective,không thể chối cãi,Why can it be said that Jesus holds incontestable title to kingship?,Tại sao có thể nói Chúa Giê-su có quyền chính đáng để nối ngôi?,Not contestable; indisputable; certain; incontrovertible.
hearken,Verb,lắng nghe,"17 Hearken ye, for, behold, the agreat bday of the Lord is nigh at hand.","17 Các ngươi hãy lắng nghe , vì này, angày btrọng đại của Chúa đã gần kề.","(intransitive) To listen; to lend the ear; to attend or give heed to what is uttered; to hear with attention, obedience, or compliance."
incivility,noun,cử chỉ khiếm nhã,Was this not some excuse for incivility if I was uncivil?,"Đây có phải là biện minh cho thái độ bất lịch sự không, nếu tôi đã bất lịch sự ?",The quality or state of being uncivil; want of courtesy; rudeness of manner; impoliteness.
