word,part_of_speech,meaning,example,example_meaning,definition,ID
convenient,adjective,tiện lợi,Thus arrived convenience .,Từ đó sự tiện lợi ra đời.,Of or pertaining to convenience; simple; easy; expedient.,10176
quotient,noun,thương số,"After all the votes have been tallied, successive quotients are calculated for each party.","Sau khi tất cả các phiếu bầu đã được kiểm tra, thương số được tính toán cho mỗi đảng.",(arithmetic) The number resulting from the division of one number by another.,10177
choreograph,verb,biên đạo,"Oh, he's a famous choreographer .",Ông ấy là một biên đạo nổi tiếng.,To design and record the choreography for a dramatic work such as a ballet,10178
blurb,verb,lời giới thiệu sách,"What glamour is all about -- I took this from a blurb in the table of contents of New York magazine, which was telling us that glamour is back -- glamour is all about transcending the everyday.","Cái quyến rũ là, tôi lấy chúng từ 1 lời giới thiệu sách trong bảng nội dung của tạp chí New York, cái đã kể cho ta rằng quyến rũ là mặt sau quyến rũ là tất cả những gì quá khác thường.","A short description of a book, film, musical work, or other product written and used for promotional purposes.",10179
necropsy,verb,sự mổ tử thi,I was there for a lot of the necropsies on the riverside.,Tôi có mặt khi họ mổ xác của chúng bên bờ sông.,The pathological dissection of a corpse; particularly to determine cause of death. Applicable to the examination of any life form.,10180
purse,verb,ví tiền,She fumbled through her purse for the door key .,Cô mò mẫm ví tiền của mình kiếm chiếc chìa khoá cửa .,A small bag for carrying money.,10182
epoch,noun,thời kỳ,They originated in the early Oligocene epoch and disappeared in the Pliocene.,Chúng lần đầu tiên xuất hiện trong thời kỳ Tiền Oligocen và biến mất trong thế Pliocen.,"A particular period of history, especially one considered remarkable or noteworthy.",10183
era,noun,thời đại,It's an era known as the time of the giants.,Là thời đại được biết đến như thời kỳ của người khổng lồ.,"A time period of indeterminate length, generally more than one year.",10184
evolution,noun,tiến hóa,"You see, technology is a way to evolve the evolution .","Các bạn thấy, công nghệ là một cách để tiến hóa sự tiến hóa .",(general) gradual directional change especially one leading to a more advanced or complex form; growth; development,10185
fossil,noun,hoá thạch,"I'm in the nuclear game, not fossil fuels.","Tôi đang trong ván bài hạt nhân, không phải nhiên liệu hoá thạch .",The mineralized remains of an animal or plant.,10186
mammal,noun,loài thú,Many of the larger mammals of Europe once roamed over vast tracts of the continent.,Có nhiều loài thú lớn một thời sinh sống khắp châu Âu.,"An animal of the class Mammalia, characterized by being warm-blooded, having hair and feeding milk to its young.",10187
mineral,noun,khoáng,The red color you see here is not due to minerals .,Màu đỏ mà bạn thấy đây không phải do khoáng chất.,(geology) Any naturally occurring inorganic material that has a (more or less) definite chemical composition and characteristic physical properties.,10188
organism,noun,sinh vật,We can see it in a variety of different organisms .,Ta có thể thấy điều này ở nhiều sinh vật khác.,"(biology) A discrete and complete living thing, such as animal, plant, fungus or microorganism.",10189
paleontology,noun,cổ sinh vật học,None of my questions have anything to do with paleontology .,Không có câu hỏi nào cho tôi về ngành cổ sinh vật học cả.,"Study of the forms of life existing in prehistoric or geologic times, especially as represented by fossils.",10190
antonym,noun,từ phản nghĩa,This makes them relational antonyms .,Chúng là các chất tương đương của các ankôxít (lưu huỳnh thay thế ôxy ).,"(semantics) A word which has the opposite meaning to another, although not necessarily in all its senses.",10191
connote,verb,bao hàm,"According to one reference work, “the word connotes certainty, truthfulness, faithfulness, and absence of doubt.”","Theo một tài liệu, “từ này cũng bao hàm ý không nghi ngờ, chân thật, trung tín và đáng tin cậy”.",(transitive) To signify beyond its literal or principal meaning.,10192
definition,noun,định nghĩa,You may want to write part of these definitions next to the verses.,Các em có thể muốn viết một phần các định nghĩa này bên cạnh các câu thánh thư.,(semantics) A statement of the meaning of a word or word group or a sign or symbol (dictionary definitions).,10193
diacritical,noun,dấu phụ,Combining Diacritical Marks,KCharselect unicode block name,Capable of distinguishing or of making a distinction.,10194
entry,noun,mục từ,This is flat. Look how many links there are in the actual entry : two!,Nó phẳng. Hãy xem có bao nhiêu liên kết trong mục từ cụ thể này: hai!,(uncountable) The act of entering.,10195
lexicographer,noun,nhà từ điển học,Lexicographer W.,Người soạn tự điển là W.,One who writes or compiles a dictionary.,10196
bunt,verb,húc,No bunts .,Không chặn bóng bằng gậy .,"The middle part, cavity, or belly of a sail; the part of a furled sail which is at the center of the yard.",10197
statistics,noun,số liệu thống kê,I'm going to be talking about statistics today.,"Hôm nay, tôi sẽ nói về số liệu thống kê .","(singular) A mathematical science concerned with data collection, presentation, analysis, and interpretation.",10198
eldritch,adjective,kỳ quái,"He chose you, Eldritch !","Ngài đã chọn ông, Eldritch !","unearthly, alien, supernatural, weird, spooky, eerie",10199
haunt,verb,ám ảnh,Do I haunt your hours the way you haunted mine?,Liệu anh có ám ảnh em như em đã từng ám ảnh anh?,"(transitive) To inhabit, or visit frequently (most often used in reference to ghosts).",10201
phantasm,noun,bóng ma,He could be a phantasm .,Có thể chỉ là một bóng ma .,something seen but having no physical reality; a phantom or apparition.,10202
amanuensis,noun,người biên chép,Are you an amanuensis or an apologist?,Cậu là nhà biên chép hay là biện hộ?,"One employed to take dictation, or copy manuscripts",10203
bibliophile,noun,người ham sách,Bibliophile .,Người mê sách .,One who loves books.,10204
book,verb,Sách,Books are the bees that carry pollen from one mind to another.,"Sách vở tựa như bầy ong, đem tinh hoa từ trí tuệ này sang trí tuệ khác.","A collection of sheets of paper bound together to hinge at one edge, containing printed or written material, pictures, etc. If initially blank, commonly referred to as a notebook.",10205
